tag	timestamp	sample	patient_auprc_weighted	patient_auroc_weighted	patient_auprc_simple	patient_auroc_simple	patient_max_f1_weighted	length_of_stay_mae_hours	time_mae_weighted_hrs	phase2_best_val	phase3_best_val	phase2_epochs	phase3_epochs	embed_dim	n_layer	n_head	num_params	total_seconds	notes
baseline	2026-06-02T01:55	10000	0.686507	0.846871	0.566331	0.827540	0.706229	121.4905	41.71	0.000000	4.238167	101	61	128	4	2	1849354	6123.8	reference; default arch; positional MLM@0.15; P3 time:risk~8.6:1; DEATH weak
i1-hier	2026-06-02T03:15	10000	0.676561	0.844911	0.539384	0.823227	0.700318	117.8226	38.95	0.000000	3.932681	88	81	128	4	2	1849354	5444.2	DISCARD; hierarchical MLM mask @0.15; MLM top1 unchanged/top5 worse; Hypoglycemia AUPRC 0.447->0.231
i4-tl025	2026-06-02T04:55	10000	0.760241	0.868612	0.639949	0.853503	0.735542	120.2743	41.40	0.000000	1.476722	101	101	128	4	2	1849354	6454.1	KEEP; phase3_time_lambda 0.5->0.25; AUPRC +0.074 AUROC +0.022 time MAE flat; CVD/Hyperosmol jump; running best
i4b-tl005	2026-06-02T06:55	10000	0.826193	0.881450	0.759314	0.869601	0.782523	122.3213	39.01	0.000000	0.291340	101	97	128	4	2	1849354	6357.0	KEEP; phase3_time_lambda 0.25->0.05 (risk-dominant); AUPRC +0.066 time MAE -2.4h; Hypoglycemia recovers; DEATH lone laggard; new best
i4c-tl002	2026-06-02T08:55	10000	0.841081	0.896866	0.771648	0.883818	0.801152	119.8719	40.64	0.000000	0.167405	88	101	128	4	2	1849354	6089.2	KEEP; phase3_time_lambda 0.05->0.02; AUPRC +0.015 AUROC 0.897~target; logits widening; new best
i4d-tl001	2026-06-02T10:55	10000	0.827640	0.873742	0.762899	0.863293	0.792922	118.1599	40.35	0.000000	0.103670	101	98	128	4	2	1849354	6337.8	DISCARD; phase3_time_lambda 0.02->0.01; both AUPRC -0.014 AUROC -0.023 regress; lambda peaks at 0.02
i5-blr01	2026-06-02T12:55	10000	0.823953	0.874836	0.756828	0.862302	0.786994	111.1711	35.29	0.000000	0.086667	101	57	128	4	2	1849354	5124.8	DISCARD; backbone_lr_factor 0.01->0.1; AUPRC -0.017 but LoS -8.7h time -5.3h (risk<->time tradeoff); lock 0.01
p2-fulldata-128	2026-06-02T21:00	None	0.826051	0.878531	0.756286	0.865256	0.789002	117.5462	42.89	0.000000	0.040845	101	37	128	4	2	1852682	28402.1	DELIVERABLE full-data baseline; AUPRC 95p2-fulldata-128	2026-06-02T21:00	None	0.826051	0.878531	0.756286	0.865256	0.789002	117.5462	42.89	0.000000	0.040845	101	37	128	4	2	1852682	28402.1	DELIVERABLE full-data baseline; AUPRC CI[0.821,0.832] AUROC CI[0.874,0.883] B2000; DEATH weak
p2-size256	2026-06-03T04:30	None	0.827870	0.880049	0.756811	0.865127	0.791335	125.6608	44.86	0.000000	0.028276	101	39	256	4	4	6814346	29595.8	DISCARD(headline); no gain vs 128 (within CI) worse LoS 3.7x params; 128 final; skip 384
m-term	2026-06-03T17:30	None	0.242952	0.677673	0.242952	0.677673	0.327370	109.3592	NA	0.000000	0.033355	159	27	128	4	2	1852042	37181.2	terminal DEATH+LoS P2=200; DEATH AUPRC CI[0.223,0.266] unchanged; LoS 109.4 CI[107.8,111.0] beats 117.5 (-8h)
p2-qa	2026-06-04T02:30	None	0.832548	0.886932	0.764175	0.874621	0.792967	118.8261	43.99	0.000000	0.046651	101	30	128	4	2	1860106	28312.3	SOFT-KEEP; QA full-outcome; AUPRC 0.833 CI[0.827,0.839] +0.006 ~2sigma; DEATH AUROC 0.685->0.722 (real); helps DEATH
naive-intervals	2026-06-04T11:50	None	0.838213	0.894002	0.773712	0.879320	0.808657	112.1196	NA	0.000000	0.028383	101	59	128	4	2	1839882	28275.5	DISCARD(ablation); naive 5-bin intervals ~= KB (all comparable outcomes tied in CI); KB intervals add no measurable value; kidney label not comparable
